カテゴリー,分類群,和名,学名
絶滅危惧ⅠＡ類（CR）,維管束植物,キタダケデンダ,Woodsia subcordata
絶滅危惧ⅠＡ類（CR）,維管束植物,タイワンアリサンイヌワラビ,Athyrium arisanense var. arisanense
絶滅危惧ⅠＡ類（CR）,維管束植物,シビイヌワラビ,Athyrium arisanense var. kenzo-satakei
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクイヌワラビ,Athyrium masamunei
絶滅危惧ⅠＡ類（CR）,維管束植物,シイバサトメシダ,Athyrium neglectum subsp. australe
絶滅危惧ⅠＡ類（CR）,維管束植物,ナンゴクシケチシダ,Athyrium opacum f. glabrescens
絶滅危惧ⅠＡ類（CR）,維管束植物,サカバイヌワラビ,Athyrium reflexipinnum
絶滅危惧ⅠＡ類（CR）,維管束植物,タカサゴイヌワラビ,Athyrium silvicola
絶滅危惧ⅠＡ類（CR）,維管束植物,トゲヤマイヌワラビ,Athyrium spinescens
絶滅危惧ⅠＡ類（CR）,維管束植物,ヤクシマタニイヌワラビ,Athyrium yakusimense
絶滅危惧ⅠＡ類（CR）,維管束植物,ジャコウシダ,Deparia formosana
絶滅危惧ⅠＡ類（CR）,維管束植物,コウライイヌワラビモドキ,Deparia henryi
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒュウガシケシダ,Deparia minamitanii
絶滅危惧ⅠＡ類（CR）,維管束植物,モッチョムシダ,Diplazium kawabatae
絶滅危惧ⅠＡ類（CR）,維管束植物,アオイガワラビ,Diplazium kawakamii
絶滅危惧ⅠＡ類（CR）,維管束植物,ムシャシダ,Diplazium megaphylum
絶滅危惧ⅠＡ類（CR）,維管束植物,フクレギシダ,Diplazium pinfaense
絶滅危惧ⅠＡ類（CR）,維管束植物,ムニンミドリシダ,Diplazium subtripinnatum
絶滅危惧ⅠＡ類（CR）,維管束植物,タイヨウシダ,Thelypteris erubescens
絶滅危惧ⅠＡ類（CR）,維管束植物,シマヤワラシダ,Thelypteris gracilescens
絶滅危惧ⅠＡ類（CR）,維管束植物,リュウキュウキンモウワラビ,Hypodematium fordii
絶滅危惧ⅠＡ類（CR）,維管束植物,イツキカナワラビ,Arachniodes cantilenae
絶滅危惧ⅠＡ類（CR）,維管束植物,アタシカカナワラビ,Arachniodes exilis f. oohorae
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒュウガカナワラビ,Arachniodes hiugana
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒロハナライシダ,Arachniodes quadripinnata subsp. fimbriata
絶滅危惧ⅠＡ類（CR）,維管束植物,ヒゴカナワラビ,Arachniodes simulans
絶滅危惧ⅠＡ類（CR）,維管束植物,ツルダカナワラビ,Arachniodes yaoshanensis
絶滅危惧ⅠＡ類（CR）,維管束植物,クマヤブソテツ,Cyrtomium anomophyllum
絶滅危惧ⅠＡ類（CR）,維管束植物,クマイワヘゴ,Dryopteris anthracinisquama
絶滅危惧ⅠＡ類（CR）,維管束植物,エビノオオクジャク,Dryopteris dickinsii x D. polylepis
絶滅危惧ⅠＡ類（CR）,維管束植物,ホソバヌカイタチシダ,Dryopteris gymnosora x D. koidzumiana
絶滅危惧ⅠＡ類（CR）,維管束植物,キリシマイワヘゴ,Dryopteris hangchowensis
絶滅危惧ⅠＡ類（CR）,維管束植物,オオミネイワヘゴ,Dryopteris lunanensis
絶滅危惧ⅠＡ類（CR）,維管束植物,アラゲミサキカグマ,Dryopteris subtsushimensis
絶滅危惧ⅠＡ類（CR）,維管束植物,マルバヌカイタチシダモドキ,Dryopteris tsugiwoi
絶滅危惧ⅠＡ類（CR）,維管束植物,ツツイイワヘゴ,Dryopteris tsutsuiana
